epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,32382.9,1.37309,1.3633,1.33994,0.60094,0.45671,0.48571,0.34101,1.20272,1.24998,1.20056,0.005842,0.005842,0.005842
44,33138.5,1.36955,1.36025,1.33912,0.59545,0.45903,0.48633,0.34172,1.20266,1.24997,1.20036,0.005743,0.005743,0.005743
45,33895.6,1.37414,1.36187,1.34091,0.5975,0.45905,0.48659,0.34217,1.20234,1.24941,1.20015,0.005644,0.005644,0.005644
46,34652.9,1.37322,1.36448,1.34045,0.59985,0.45885,0.48687,0.34204,1.20208,1.24963,1.19974,0.005545,0.005545,0.005545
47,35407,1.36956,1.35879,1.33793,0.6021,0.45725,0.48666,0.34231,1.20206,1.2496,1.19953,0.005446,0.005446,0.005446
48,36166,1.37002,1.36147,1.33791,0.60256,0.45841,0.48746,0.34197,1.20202,1.24967,1.19925,0.005347,0.005347,0.005347
49,36918.3,1.36992,1.35816,1.33664,0.60371,0.45756,0.48725,0.34272,1.20186,1.24934,1.19904,0.005248,0.005248,0.005248
50,37667.1,1.37038,1.36,1.33598,0.6015,0.45764,0.48761,0.34245,1.20167,1.24908,1.19867,0.005149,0.005149,0.005149
51,38423.5,1.36979,1.359,1.33611,0.60188,0.45803,0.48796,0.34259,1.20148,1.24872,1.1984,0.00505,0.00505,0.00505
52,39176.8,1.36869,1.35826,1.33604,0.59921,0.45935,0.488,0.34296,1.20119,1.24894,1.19796,0.004951,0.004951,0.004951
53,39932,1.36905,1.35685,1.33637,0.59851,0.45986,0.48775,0.34267,1.20104,1.24902,1.19774,0.004852,0.004852,0.004852
54,40688.8,1.36749,1.35747,1.33526,0.59892,0.45941,0.48699,0.34225,1.20106,1.249,1.19757,0.004753,0.004753,0.004753
55,41445.4,1.36653,1.35497,1.33476,0.59802,0.46092,0.4878,0.34343,1.20091,1.24899,1.19735,0.004654,0.004654,0.004654
56,42203.3,1.36572,1.35418,1.33355,0.59829,0.46083,0.4882,0.34432,1.20072,1.24872,1.19719,0.004555,0.004555,0.004555
57,42954.5,1.36676,1.35638,1.33481,0.59197,0.46311,0.48788,0.34426,1.20073,1.24876,1.1971,0.004456,0.004456,0.004456
58,43705.8,1.36566,1.35418,1.33452,0.59607,0.46149,0.48855,0.34408,1.20053,1.24861,1.19695,0.004357,0.004357,0.004357
59,44463.1,1.36512,1.3536,1.33357,0.59684,0.46099,0.48852,0.3448,1.20088,1.2485,1.19699,0.004258,0.004258,0.004258
60,45216.4,1.36532,1.35391,1.33223,0.60262,0.46188,0.48853,0.34416,1.20061,1.24828,1.19667,0.004159,0.004159,0.004159
61,45974.6,1.36239,1.35232,1.33057,0.5984,0.46321,0.48861,0.34383,1.20052,1.2483,1.1964,0.00406,0.00406,0.00406
