epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,147657,1.35197,1.34729,1.31788,0.57304,0.43043,0.45873,0.31484,1.18842,1.2453,1.18064,0.000892,0.000892,0.000892
186,148449,1.34916,1.34755,1.31764,0.57078,0.43058,0.4589,0.31504,1.18818,1.24516,1.18031,0.0008425,0.0008425,0.0008425
187,149240,1.34874,1.34525,1.31747,0.57103,0.43084,0.45949,0.31522,1.18784,1.2448,1.18006,0.000793,0.000793,0.000793
188,150037,1.34553,1.34238,1.31581,0.57225,0.43316,0.45995,0.31532,1.18762,1.24479,1.17976,0.0007435,0.0007435,0.0007435
189,150833,1.3451,1.34085,1.31562,0.57124,0.43253,0.45984,0.3156,1.18732,1.24465,1.17941,0.000694,0.000694,0.000694
190,151624,1.34438,1.33691,1.31386,0.57191,0.43217,0.46042,0.31598,1.18717,1.2445,1.17915,0.0006445,0.0006445,0.0006445
191,152583,1.35477,1.29604,1.31883,0.5792,0.42981,0.46071,0.31564,1.18692,1.24442,1.17864,0.000595,0.000595,0.000595
192,153389,1.34931,1.28194,1.31363,0.57782,0.43024,0.46053,0.31589,1.18667,1.24365,1.17831,0.0005455,0.0005455,0.0005455
193,154192,1.34537,1.27482,1.31217,0.57919,0.43116,0.46091,0.31615,1.18624,1.24271,1.1779,0.000496,0.000496,0.000496
194,154996,1.34087,1.26825,1.3072,0.57819,0.4319,0.46121,0.31593,1.1858,1.24169,1.17746,0.0004465,0.0004465,0.0004465
195,155801,1.33892,1.26434,1.30667,0.57868,0.43343,0.46175,0.31637,1.18546,1.24052,1.17728,0.000397,0.000397,0.000397
196,156607,1.3375,1.26043,1.30587,0.58319,0.43109,0.46191,0.31645,1.18522,1.23907,1.1771,0.0003475,0.0003475,0.0003475
197,157406,1.33374,1.25447,1.30364,0.57893,0.43276,0.46218,0.31676,1.18507,1.23762,1.17704,0.000298,0.000298,0.000298
198,158202,1.33306,1.24959,1.30131,0.58349,0.43207,0.46224,0.31679,1.18499,1.23628,1.17689,0.0002485,0.0002485,0.0002485
199,158998,1.33028,1.24822,1.30164,0.58836,0.43017,0.46229,0.31673,1.18512,1.23585,1.17691,0.000199,0.000199,0.000199
200,159793,1.32654,1.24232,1.29884,0.58221,0.43332,0.46288,0.3171,1.18529,1.2353,1.17702,0.0001495,0.0001495,0.0001495
